year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2012,M,Germany,0 days 03:06:59,Jackisch,Wilfried,2040,60,M,11219.0,0 days 03:00:00
2012,M,Australia,0 days 03:08:04,Elliott,Dean,2167,60,M,11284.0,0 days 03:00:00
2012,M,Switzerland,0 days 03:08:36,Muff,Christian,2233,60,M,11316.0,0 days 03:00:00
2012,M,Germany,0 days 03:09:13,Menke,Jochen,2324,60,M,11353.0,0 days 03:00:00
2012,M,Japan,0 days 03:09:50,Mitsuyuki,Shiota,2409,60,M,11390.0,0 days 03:00:00
2012,M,Netherlands,0 days 03:10:11,Kuiper,Jan,2461,60,M,11411.0,0 days 03:10:00
2012,M,United Kingdom,0 days 03:12:09,Harley,John,2747,60,M,11529.0,0 days 03:10:00
2012,M,Norway,0 days 03:12:48,Brathen,Per,2859,60,M,11568.0,0 days 03:10:00
2012,M,Finland,0 days 03:14:39,TrÃÂ¤skelin,Sune,3169,60,M,11679.0,0 days 03:10:00
2012,M,Germany,0 days 03:15:09,Cordes,Bernd,3277,60,M,11709.0,0 days 03:10:00
