year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2023,W,United Kingdom,0 days 03:32:16,Gordon,Yuko,10377,70,W,12736.0,0 days 03:30:00
2023,W,United States,0 days 03:41:35,DEARMON,MERRY,13159,70,W,13295.0,0 days 03:40:00
2023,W,United Kingdom,0 days 03:45:45,Jarvis,Penny,14565,70,W,13545.0,0 days 03:40:00
2023,W,United States,0 days 03:50:38,Wasielewski,Grace,16219,70,W,13838.0,0 days 03:50:00
2023,W,Canada,0 days 04:09:01,Freedman,Barbara,22775,70,W,14941.0,0 days 04:00:00
2023,W,United Kingdom,0 days 04:19:23,Millett,Jacqueline,25860,70,W,15563.0,0 days 04:10:00
2023,W,United States,0 days 04:28:07,Peterson,Diane,28252,70,W,16087.0,0 days 04:20:00
2023,W,Colombia,0 days 04:29:30,LUNA,GLADYS,28635,70,W,16170.0,0 days 04:20:00
2023,W,United States,0 days 04:33:51,Stevenson,Karen,29709,70,W,16431.0,0 days 04:30:00
2023,W,United Kingdom,0 days 04:53:12,Mason,Elizabeth,33973,70,W,17592.0,0 days 04:50:00
