year,sex,nation,tps_fin,nom,prenom,place,class_age,gender,tps_fin_p,tps_fin_rounded
2023,X,United Kingdom,0 days 03:06:12,Watts,Oliver,4050,30,X,11172.0,0 days 03:00:00
2023,X,Mexico,0 days 03:14:13,Nava Ramirez,Rodrigo,5464,30,X,11653.0,0 days 03:10:00
2023,X,Finland,0 days 03:27:05,Muschitiello,Pilvi,8683,30,X,12425.0,0 days 03:20:00
2023,X,United Kingdom,0 days 03:33:20,O'Neil,Tom,10679,30,X,12800.0,0 days 03:30:00
2023,X,United States,0 days 03:56:14,Choate,Mark,18445,30,X,14174.0,0 days 03:50:00
2023,X,United States,0 days 04:27:53,Wagenknecht,Michael,28183,30,X,16073.0,0 days 04:20:00
2023,X,Mexico,0 days 04:34:59,Atri,Andrea,29984,30,X,16499.0,0 days 04:30:00
2023,X,United States,0 days 04:40:32,Restar,Arjee,31218,30,X,16832.0,0 days 04:40:00
2023,X,United States,0 days 04:55:40,McKenna,Theodore,34464,30,X,17740.0,0 days 04:50:00
2023,X,United States,0 days 05:42:27,Bass,Shoshana,40288,30,X,20547.0,0 days 05:40:00
